PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33038057","Regulation of ribosomal protein genes: An ordered anarchy","Petibon C, Malik Ghulam M, Catala M, Abou Elela S.","Wiley Interdiscip Rev RNA. 2021 May;12(3):e1632. doi: 10.1002/wrna.1632. Epub 2020 Oct 10.","Petibon C","Wiley Interdiscip Rev RNA","2021","2020/10/10","PMC8047918","","10.1002/wrna.1632"
"30843375","The cellular landscape of mid-size noncoding RNA","Boivin V, Faucher-Giguère L, Scott M, Abou-Elela S.","Wiley Interdiscip Rev RNA. 2019 Jul;10(4):e1530. doi: 10.1002/wrna.1530. Epub 2019 Mar 6.","Boivin V","Wiley Interdiscip Rev RNA","2019","2019/03/08","PMC6619189","","10.1002/wrna.1530"
"31668856","Introns: Good Day Junk Is Bad Day Treasure","Parenteau J, Abou Elela S.","Trends Genet. 2019 Dec;35(12):923-934. doi: 10.1016/j.tig.2019.09.010. Epub 2019 Oct 25.","Parenteau J","Trends Genet","2019","2019/11/01","","","10.1016/j.tig.2019.09.010"
"35999447","Duplicated ribosomal protein paralogs promote alternative translation and drug resistance","Malik Ghulam M, Catala M, Reulet G, Scott MS, Abou Elela S.","Nat Commun. 2022 Aug 23;13(1):4938. doi: 10.1038/s41467-022-32717-y.","Malik Ghulam M","Nat Commun","2022","2022/08/23","PMC9399092","","10.1038/s41467-022-32717-y"
"30548404","Structure and function of Rnt1p: An alternative to RNAi for targeted RNA degradation","Abou Elela S, Ji X.","Wiley Interdiscip Rev RNA. 2019 May;10(3):e1521. doi: 10.1002/wrna.1521. Epub 2018 Dec 11.","Abou Elela S","Wiley Interdiscip Rev RNA","2019","2018/12/15","","","10.1002/wrna.1521"
"35751026","SAPFIR: A webserver for the identification of alternative protein features","Zhou D, Tran Y, Abou Elela S, Scott MS.","BMC Bioinformatics. 2022 Jun 24;23(1):250. doi: 10.1186/s12859-022-04804-w.","Zhou D","BMC Bioinformatics","2022","2022/06/24","PMC9229502","","10.1186/s12859-022-04804-w"
"36443289","Altered tRNA processing is linked to a distinct and unusual La protein in Tetrahymena thermophila","Kerkhofs K, Garg J, Fafard-Couture É, Abou Elela S, Scott MS, Pearlman RE, Bayfield MA.","Nat Commun. 2022 Nov 28;13(1):7332. doi: 10.1038/s41467-022-34796-3.","Kerkhofs K","Nat Commun","2022","2022/11/28","PMC9705548","","10.1038/s41467-022-34796-3"
"35047824","High-grade ovarian cancer associated H/ACA snoRNAs promote cancer cell proliferation and survival","Faucher-Giguère L, Roy A, Deschamps-Francoeur G, Couture S, Nottingham RM, Lambowitz AM, Scott MS, Abou Elela S.","NAR Cancer. 2022 Jan 14;4(1):zcab050. doi: 10.1093/narcan/zcab050. eCollection 2022 Mar.","Faucher-Giguère L","NAR Cancer","2022","2022/01/20","PMC8759569","","10.1093/narcan/zcab050"
"36614170","Reovirus μ2 Protein Impairs Translation to Reduce U5 snRNP Protein Levels","Boudreault S, Martineau CA, Faucher-Giguère L, Abou-Elela S, Lemay G, Bisaillon M.","Int J Mol Sci. 2022 Dec 31;24(1):727. doi: 10.3390/ijms24010727.","Boudreault S","Int J Mol Sci","2022","2023/01/08","PMC9821451","","10.3390/ijms24010727"
"35657102","The snoGloBe interaction predictor reveals a broad spectrum of C/D snoRNA RNA targets","Deschamps-Francoeur G, Couture S, Abou-Elela S, Scott MS.","Nucleic Acids Res. 2022 Jun 24;50(11):6067-6083. doi: 10.1093/nar/gkac475.","Deschamps-Francoeur G","Nucleic Acids Res","2022","2022/06/03","PMC9226514","","10.1093/nar/gkac475"
"24222354","Cancer-Associated Perturbations in Alternative Pre-messenger RNA Splicing","Shkreta L, Bell B, Revil T, Venables JP, Prinos P, Elela SA, Chabot B.","Cancer Treat Res. 2013;158:41-94. doi: 10.1007/978-3-642-31659-3_3.","Shkreta L","Cancer Treat Res","2013","2013/11/14","","","10.1007/978-3-642-31659-3_3"
"24335142","Tumor microenvironment-associated modifications of alternative splicing","Brosseau JP, Lucier JF, Nwilati H, Thibault P, Garneau D, Gendron D, Durand M, Couture S, Lapointe E, Prinos P, Klinck R, Perreault JP, Chabot B, Abou-Elela S.","RNA. 2014 Feb;20(2):189-201. doi: 10.1261/rna.042168.113. Epub 2013 Dec 11.","Brosseau JP","RNA","2014","2013/12/17","PMC3895271","","10.1261/rna.042168.113"
"30651641","Introns are mediators of cell response to starvation","Parenteau J, Maignon L, Berthoumieux M, Catala M, Gagnon V, Abou Elela S.","Nature. 2019 Jan;565(7741):612-617. doi: 10.1038/s41586-018-0859-7. Epub 2019 Jan 16.","Parenteau J","Nature","2019","2019/01/18","","","10.1038/s41586-018-0859-7"
"24375754","Redirecting splicing with bifunctional oligonucleotides","Brosseau JP, Lucier JF, Lamarche AA, Shkreta L, Gendron D, Lapointe E, Thibault P, Paquet E, Perreault JP, Abou Elela S, Chabot B.","Nucleic Acids Res. 2014 Apr;42(6):e40. doi: 10.1093/nar/gkt1287. Epub 2013 Dec 26.","Brosseau JP","Nucleic Acids Res","2014","2013/12/31","PMC3973305","","10.1093/nar/gkt1287"
"31240249","Promoter-dependent nuclear RNA degradation ensures cell cycle-specific gene expression","Catala M, Abou Elela S.","Commun Biol. 2019 Jun 17;2:211. doi: 10.1038/s42003-019-0441-3. eCollection 2019.","Catala M","Commun Biol","2019","2019/06/27","PMC6572803","","10.1038/s42003-019-0441-3"
"34244793","RBFOX2 alters splicing outcome in distinct binding modes with multiple protein partners","Zhou D, Couture S, Scott MS, Abou Elela S.","Nucleic Acids Res. 2021 Aug 20;49(14):8370-8383. doi: 10.1093/nar/gkab595.","Zhou D","Nucleic Acids Res","2021","2021/07/10","PMC8373071","","10.1093/nar/gkab595"
"34088344","Annotation of snoRNA abundance across human tissues reveals complex snoRNA-host gene relationships","Fafard-Couture É, Bergeron D, Couture S, Abou-Elela S, Scott MS.","Genome Biol. 2021 Jun 4;22(1):172. doi: 10.1186/s13059-021-02391-2.","Fafard-Couture É","Genome Biol","2021","2021/06/05","PMC8176728","","10.1186/s13059-021-02391-2"
"22113302","Detection and characterization of transcription termination","Ghazal G, Gagnon J, Elela SA.","Methods Mol Biol. 2012;809:593-607. doi: 10.1007/978-1-61779-376-9_38.","Ghazal G","Methods Mol Biol","2012","2011/11/25","","","10.1007/978-1-61779-376-9_38"
"19448617","Cancer-associated regulation of alternative splicing","Venables JP, Klinck R, Koh C, Gervais-Bird J, Bramard A, Inkel L, Durand M, Couture S, Froehlich U, Lapointe E, Lucier JF, Thibault P, Rancourt C, Tremblay K, Prinos P, Chabot B, Elela SA.","Nat Struct Mol Biol. 2009 Jun;16(6):670-6. doi: 10.1038/nsmb.1608. Epub 2009 May 17.","Venables JP","Nat Struct Mol Biol","2009","2009/05/19","","","10.1038/nsmb.1608"
"36165892","snoDB 2.0: an enhanced interactive database, specializing in human snoRNAs","Bergeron D, Paraqindes H, Fafard-Couture É, Deschamps-Francoeur G, Faucher-Giguère L, Bouchard-Bourelle P, Abou Elela S, Catez F, Marcel V, Scott MS.","Nucleic Acids Res. 2023 Jan 6;51(D1):D291-D296. doi: 10.1093/nar/gkac835.","Bergeron D","Nucleic Acids Res","2023","2022/09/27","PMC9825428","","10.1093/nar/gkac835"
"20038630","High-throughput quantification of splicing isoforms","Brosseau JP, Lucier JF, Lapointe E, Durand M, Gendron D, Gervais-Bird J, Tremblay K, Perreault JP, Elela SA.","RNA. 2010 Feb;16(2):442-9. doi: 10.1261/rna.1877010. Epub 2009 Dec 28.","Brosseau JP","RNA","2010","2009/12/30","PMC2811672","","10.1261/rna.1877010"
"31141144","CoCo: RNA-seq read assignment correction for nested genes and multimapped reads","Deschamps-Francoeur G, Boivin V, Abou Elela S, Scott MS.","Bioinformatics. 2019 Dec 1;35(23):5039-5047. doi: 10.1093/bioinformatics/btz433.","Deschamps-Francoeur G","Bioinformatics","2019","2019/05/30","PMC6901076","","10.1093/bioinformatics/btz433"
"17158880","RNase III-dependent regulation of yeast telomerase","Larose S, Laterreur N, Ghazal G, Gagnon J, Wellinger RJ, Elela SA.","J Biol Chem. 2007 Feb 16;282(7):4373-4381. doi: 10.1074/jbc.M607145200. Epub 2006 Dec 11.","Larose S","J Biol Chem","2007","2006/12/13","","","10.1074/jbc.M607145200"
"31598696","snoDB: an interactive database of human snoRNA sequences, abundance and interactions","Bouchard-Bourelle P, Desjardins-Henri C, Mathurin-St-Pierre D, Deschamps-Francoeur G, Fafard-Couture É, Garant JM, Elela SA, Scott MS.","Nucleic Acids Res. 2020 Jan 8;48(D1):D220-D225. doi: 10.1093/nar/gkz884.","Bouchard-Bourelle P","Nucleic Acids Res","2020","2019/10/11","PMC6943035","","10.1093/nar/gkz884"
"19818713","Yeast RNase III triggers polyadenylation-independent transcription termination","Ghazal G, Gagnon J, Jacques PE, Landry JR, Robert F, Elela SA.","Mol Cell. 2009 Oct 9;36(1):99-109. doi: 10.1016/j.molcel.2009.07.029.","Ghazal G","Mol Cell","2009","2009/10/13","","","10.1016/j.molcel.2009.07.029"
"22576366","RNA-dependent regulation of the cell wall stress response","Catala M, Aksouh L, Abou Elela S.","Nucleic Acids Res. 2012 Aug;40(15):7507-17. doi: 10.1093/nar/gks411. Epub 2012 May 10.","Catala M","Nucleic Acids Res","2012","2012/05/12","PMC3424562","","10.1093/nar/gks411"
"31980822","Reducing the structure bias of RNA-Seq reveals a large number of non-annotated non-coding RNA","Boivin V, Reulet G, Boisvert O, Couture S, Elela SA, Scott MS.","Nucleic Acids Res. 2020 Mar 18;48(5):2271-2286. doi: 10.1093/nar/gkaa028.","Boivin V","Nucleic Acids Res","2020","2020/01/26","PMC7049693","","10.1093/nar/gkaa028"
"25993117","Neural differentiation modulates the vertebrate brain specific splicing program","Madgwick A, Fort P, Hanson PS, Thibault P, Gaudreau MC, Lutfalla G, Möröy T, Abou Elela S, Chaudhry B, Elliott DJ, Morris CM, Venables JP.","PLoS One. 2015 May 19;10(5):e0125998. doi: 10.1371/journal.pone.0125998. eCollection 2015.","Madgwick A","PLoS One","2015","2015/05/21","PMC4438066","","10.1371/journal.pone.0125998"
"18245464","Multiple alternative splicing markers for ovarian cancer","Klinck R, Bramard A, Inkel L, Dufresne-Martin G, Gervais-Bird J, Madden R, Paquet ER, Koh C, Venables JP, Prinos P, Jilaveanu-Pelmus M, Wellinger R, Rancourt C, Chabot B, Abou Elela S.","Cancer Res. 2008 Feb 1;68(3):657-63. doi: 10.1158/0008-5472.CAN-07-2580.","Klinck R","Cancer Res","2008","2008/02/05","","","10.1158/0008-5472.CAN-07-2580"
"21552259","Alternative splicing of SYK regulates mitosis and cell survival","Prinos P, Garneau D, Lucier JF, Gendron D, Couture S, Boivin M, Brosseau JP, Lapointe E, Thibault P, Durand M, Tremblay K, Gervais-Bird J, Nwilati H, Klinck R, Chabot B, Perreault JP, Wellinger RJ, Elela SA.","Nat Struct Mol Biol. 2011 Jun;18(6):673-9. doi: 10.1038/nsmb.2040. Epub 2011 May 8.","Prinos P","Nat Struct Mol Biol","2011","2011/05/10","","","10.1038/nsmb.2040"
"25680180","Transcriptome wide annotation of eukaryotic RNase III reactivity and degradation signals","Gagnon J, Lavoie M, Catala M, Malenfant F, Elela SA.","PLoS Genet. 2015 Feb 13;11(2):e1005000. doi: 10.1371/journal.pgen.1005000. eCollection 2015 Feb.","Gagnon J","PLoS Genet","2015","2015/02/14","PMC4334505","","10.1371/journal.pgen.1005000"
"31863578","Differential expression of duplicated ribosomal protein genes modifies ribosome composition in response to stress","Ghulam MM, Catala M, Abou Elela S.","Nucleic Acids Res. 2020 Feb 28;48(4):1954-1968. doi: 10.1093/nar/gkz1183.","Ghulam MM","Nucleic Acids Res","2020","2019/12/22","PMC7038994","","10.1093/nar/gkz1183"
"21933814","Regulation of conditional gene expression by coupled transcription repression and RNA degradation","Lavoie M, Ge D, Abou Elela S.","Nucleic Acids Res. 2012 Jan;40(2):871-83. doi: 10.1093/nar/gkr759. Epub 2011 Sep 20.","Lavoie M","Nucleic Acids Res","2012","2011/09/22","PMC3258148","","10.1093/nar/gkr759"
"18440980","A G-tract element in apoptotic agents-induced alternative splicing","Hai Y, Cao W, Liu G, Hong SP, Elela SA, Klinck R, Chu J, Xie J.","Nucleic Acids Res. 2008 Jun;36(10):3320-31. doi: 10.1093/nar/gkn207. Epub 2008 Apr 24.","Hai Y","Nucleic Acids Res","2008","2008/04/29","PMC2425498","","10.1093/nar/gkn207"
"22000012","Introns within ribosomal protein genes regulate the production and function of yeast ribosomes","Parenteau J, Durand M, Morin G, Gagnon J, Lucier JF, Wellinger RJ, Chabot B, Elela SA.","Cell. 2011 Oct 14;147(2):320-31. doi: 10.1016/j.cell.2011.08.044.","Parenteau J","Cell","2011","2011/10/18","","","10.1016/j.cell.2011.08.044"
"19543290","Control of alternative splicing through siRNA-mediated transcriptional gene silencing","Alló M, Buggiano V, Fededa JP, Petrillo E, Schor I, de la Mata M, Agirre E, Plass M, Eyras E, Elela SA, Klinck R, Chabot B, Kornblihtt AR.","Nat Struct Mol Biol. 2009 Jul;16(7):717-24. doi: 10.1038/nsmb.1620. Epub 2009 Jun 21.","Alló M","Nat Struct Mol Biol","2009","2009/06/23","","","10.1038/nsmb.1620"
