PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33188833","The molecular mechanism and functional diversity of UPR signaling sensor IRE1","Bashir S, Banday M, Qadri O, Bashir A, Hilal N, Nida-I-Fatima, Rader S, Fazili KM.","Life Sci. 2021 Jan 15;265:118740. doi: 10.1016/j.lfs.2020.118740. Epub 2020 Nov 11.","Bashir S","Life Sci","2021","2020/11/14","","","10.1016/j.lfs.2020.118740"
"26400738","Splicing diversity revealed by reduced spliceosomes in C. merolae and other organisms","Hudson AJ, Stark MR, Fast NM, Russell AG, Rader SD.","RNA Biol. 2015;12(11):1-8. doi: 10.1080/15476286.2015.1094602. Epub 2015 Sep 23.","Hudson AJ","RNA Biol","2015","2015/09/25","PMC4829280","","10.1080/15476286.2015.1094602"
"20659011","Secondary structure of U6 small nuclear RNA: implications for spliceosome assembly","Dunn EA, Rader SD.","Biochem Soc Trans. 2010 Aug;38(4):1099-104. doi: 10.1042/BST0381099.","Dunn EA","Biochem Soc Trans","2010","2010/07/28","","","10.1042/BST0381099"
"35154260","Identification of Alternative Polyadenylation in Cyanidioschyzon merolae Through Long-Read Sequencing of mRNA","Schärfen L, Zigackova D, Reimer KA, Stark MR, Slat VA, Francoeur NJ, Wells ML, Zhou L, Blackshear PJ, Neugebauer KM, Rader SD.","Front Genet. 2022 Jan 28;12:818697. doi: 10.3389/fgene.2021.818697. eCollection 2021.","Schärfen L","Front Genet","2022","2022/02/14","PMC8831791","","10.3389/fgene.2021.818697"
"25733880","Dramatically reduced spliceosome in Cyanidioschyzon merolae","Stark MR, Dunn EA, Dunn WS, Grisdale CJ, Daniele AR, Halstead MR, Fast NM, Rader SD.","Proc Natl Acad Sci U S A. 2015 Mar 17;112(11):E1191-200. doi: 10.1073/pnas.1416879112. Epub 2015 Mar 2.","Stark MR","Proc Natl Acad Sci U S A","2015","2015/03/04","PMC4371933","","10.1073/pnas.1416879112"
"24549660","Preparation of yeast whole cell splicing extract","Dunn EA, Rader SD.","Methods Mol Biol. 2014;1126:123-35. doi: 10.1007/978-1-62703-980-2_9.","Dunn EA","Methods Mol Biol","2014","2014/02/20","","","10.1007/978-1-62703-980-2_9"
"33569840","Characterization of Pre-mRNA Splicing and Spliceosomal Machinery in Porphyridium purpureum and Evolutionary Implications for Red Algae","Wong DK, Stark MS, Rader SD, Fast NM.","J Eukaryot Microbiol. 2021 May;68(3):e12844. doi: 10.1111/jeu.12844. Epub 2021 Mar 12.","Wong DK","J Eukaryot Microbiol","2021","2021/02/11","","","10.1111/jeu.12844"
"36737103","Spliceosome assembly and regulation: insights from analysis of highly reduced spliceosomes","Black CS, Whelan TA, Garside E, MacMillan AM, Fast NM, Rader SD.","RNA. 2023 Feb 3:rna.079273.122. doi: 10.1261/rna.079273.122. Online ahead of print.","Black CS","RNA","2023","2023/02/03","","","10.1261/rna.079273.122"
"24549661","Efficient splinted ligation of synthetic RNA using RNA ligase","Stark MR, Rader SD.","Methods Mol Biol. 2014;1126:137-49. doi: 10.1007/978-1-62703-980-2_10.","Stark MR","Methods Mol Biol","2014","2014/02/20","","","10.1007/978-1-62703-980-2_10"
"28277495","Choice: Don't compare shopping to foraging","Rader S.","Nature. 2017 Mar 8;543(7644):179. doi: 10.1038/543179c.","Rader S","Nature","2017","2017/03/10","","","10.1038/543179c"
