PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35878012","SARS-CoV-2 impairs interferon production via NSP2-induced repression of mRNA translation","Xu Z, Choi JH, Dai DL, Luo J, Ladak RJ, Li Q, Wang Y, Zhang C, Wiebe S, Liu ACH, Ran X, Yang J, Naeli P, Garzia A, Zhou L, Mahmood N, Deng Q, Elaish M, Lin R, Mahal LK, Hobman TC, Pelletier J, Alain T, Vidal SM, Duchaine T, Mazhab-Jafari MT, Mao X, Jafarnejad SM, Sonenberg N.","Proc Natl Acad Sci U S A. 2022 Aug 9;119(32):e2204539119. doi: 10.1073/pnas.2204539119. Epub 2022 Jul 25.","Xu Z","Proc Natl Acad Sci U S A","2022","2022/07/25","PMC9371684","","10.1073/pnas.2204539119"
"35401681","Eukaryotic mRNA Decapping Activation","Vidya E, Duchaine TF.","Front Genet. 2022 Mar 23;13:832547. doi: 10.3389/fgene.2022.832547. eCollection 2022.","Vidya E","Front Genet","2022","2022/04/11","PMC8984151","","10.3389/fgene.2022.832547"
"29959194","Mechanistic Insights into MicroRNA-Mediated Gene Silencing","Duchaine TF, Fabian MR.","Cold Spring Harb Perspect Biol. 2019 Mar 1;11(3):a032771. doi: 10.1101/cshperspect.a032771.","Duchaine TF","Cold Spring Harb Perspect Biol","2019","2018/07/01","PMC6396329","","10.1101/cshperspect.a032771"
"25176334","DICER1: mutations, microRNAs and mechanisms","Foulkes WD, Priest JR, Duchaine TF.","Nat Rev Cancer. 2014 Oct;14(10):662-72. doi: 10.1038/nrc3802. Epub 2014 Sep 1.","Foulkes WD","Nat Rev Cancer","2014","2014/09/02","","","10.1038/nrc3802"
"30740123","Ciphers and Executioners: How 3'-Untranslated Regions Determine the Fate of Messenger RNAs","Mayya VK, Duchaine TF.","Front Genet. 2019 Jan 24;10:6. doi: 10.3389/fgene.2019.00006. eCollection 2019.","Mayya VK","Front Genet","2019","2019/02/12","PMC6357968","","10.3389/fgene.2019.00006"
"32348780","A Family of Argonaute-Interacting Proteins Gates Nuclear RNAi","Lewis A, Berkyurek AC, Greiner A, Sawh AN, Vashisht A, Merrett S, Flamand MN, Wohlschlegel J, Sarov M, Miska EA, Duchaine TF.","Mol Cell. 2020 Jun 4;78(5):862-875.e8. doi: 10.1016/j.molcel.2020.04.007. Epub 2020 Apr 28.","Lewis A","Mol Cell","2020","2020/04/30","PMC7613089","EMS119962","10.1016/j.molcel.2020.04.007"
"22472616","Turning Dicer on its head","Sawh AN, Duchaine TF.","Nat Struct Mol Biol. 2012 Apr 4;19(4):365-6. doi: 10.1038/nsmb.2275.","Sawh AN","Nat Struct Mol Biol","2012","2012/04/05","","","10.1038/nsmb.2275"
"29412140","Translational control of ERK signaling through miRNA/4EHP-directed silencing","Jafarnejad SM, Chapat C, Matta-Camacho E, Gelbart IA, Hesketh GG, Arguello M, Garzia A, Kim SH, Attig J, Shapiro M, Morita M, Khoutorsky A, Alain T, Gkogkas CG, Stern-Ginossar N, Tuschl T, Gingras AC, Duchaine TF, Sonenberg N.","Elife. 2018 Feb 7;7:e35034. doi: 10.7554/eLife.35034.","Jafarnejad SM","Elife","2018","2018/02/08","PMC5819943","","10.7554/eLife.35034"
"33758928","microRNA-mediated translation repression through GYF-1 and IFE-4 in C. elegans development","Mayya VK, Flamand MN, Lambert AM, Jafarnejad SM, Wohlschlegel JA, Sonenberg N, Duchaine TF.","Nucleic Acids Res. 2021 May 21;49(9):4803-4815. doi: 10.1093/nar/gkab162.","Mayya VK","Nucleic Acids Res","2021","2021/03/24","PMC8136787","","10.1093/nar/gkab162"
"34223818","Novel LOTUS-domain proteins are organizational hubs that recruit C. elegans Vasa to germ granules","Cipriani PG, Bay O, Zinno J, Gutwein M, Gan HH, Mayya VK, Chung G, Chen JX, Fahs H, Guan Y, Duchaine TF, Selbach M, Piano F, Gunsalus KC.","Elife. 2021 Jul 5;10:e60833. doi: 10.7554/eLife.60833.","Cipriani PG","Elife","2021","2021/07/05","PMC8331183","","10.7554/eLife.60833"
