PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33132633","Molecular mechanisms of viral hepatitis induced hepatocellular carcinoma","D'souza S, Lau KC, Coffin CS, Patel TR.","World J Gastroenterol. 2020 Oct 14;26(38):5759-5783. doi: 10.3748/wjg.v26.i38.5759.","D'souza S","World J Gastroenterol","2020","2020/11/02","PMC7579760","","10.3748/wjg.v26.i38.5759"
"35355011","Targeting Xist with compounds that disrupt RNA structure and X inactivation","Aguilar R, Spencer KB, Kesner B, Rizvi NF, Badmalia MD, Mrozowich T, Mortison JD, Rivera C, Smith GF, Burchard J, Dandliker PJ, Patel TR, Nickbarg EB, Lee JT.","Nature. 2022 Apr;604(7904):160-166. doi: 10.1038/s41586-022-04537-z. Epub 2022 Mar 30.","Aguilar R","Nature","2022","2022/03/31","","","10.1038/s41586-022-04537-z"
"29895238","Proceedings of the Alberta Virology Conference, University of Alberta, 1-2 June 2017; edited by Guido van Marle and Trushar R. Patel(Virology in Alberta and Canada)","van Marle G, Patel TR.","Biotechnol Genet Eng Rev. 2018 Apr;34(1):1-2. doi: 10.1080/02648725.2018.1478662.","van Marle G","Biotechnol Genet Eng Rev","2018","2018/06/14","","","10.1080/02648725.2018.1478662"
"28510011","Dynamic light scattering: a practical guide and applications in biomedical sciences","Stetefeld J, McKenna SA, Patel TR.","Biophys Rev. 2016 Dec;8(4):409-427. doi: 10.1007/s12551-016-0218-6. Epub 2016 Oct 6.","Stetefeld J","Biophys Rev","2016","2017/05/17","PMC5425802","","10.1007/s12551-016-0218-6"
"35791384","Editors' Roundup: June 2022","Nagayama K, Patel T, Nakamura H, Berliner L, Hall D.","Biophys Rev. 2022 Jun 19;14(3):619-623. doi: 10.1007/s12551-022-00970-6. eCollection 2022 Jun.","Nagayama K","Biophys Rev","2022","2022/07/06","PMC9250558","","10.1007/s12551-022-00970-6"
"32850756","Biodefense Implications of New-World Hantaviruses","D'Souza MH, Patel TR.","Front Bioeng Biotechnol. 2020 Aug 7;8:925. doi: 10.3389/fbioe.2020.00925. eCollection 2020.","D'Souza MH","Front Bioeng Biotechnol","2020","2020/08/28","PMC7426369","","10.3389/fbioe.2020.00925"
"30094365","The role of zyxin in regulation of malignancies","Kotb A, Hyndman ME, Patel TR.","Heliyon. 2018 Jul 18;4(7):e00695. doi: 10.1016/j.heliyon.2018.e00695. eCollection 2018 Jul.","Kotb A","Heliyon","2018","2018/08/11","PMC6072900","","10.1016/j.heliyon.2018.e00695"
"32294494","The biomedical and bioengineering potential of protein nanocompartments","Demchuk AM, Patel TR.","Biotechnol Adv. 2020 Jul-Aug;41:107547. doi: 10.1016/j.biotechadv.2020.107547. Epub 2020 Apr 12.","Demchuk AM","Biotechnol Adv","2020","2020/04/16","","","10.1016/j.biotechadv.2020.107547"
"31934779","Proceedings of the 14th annual RiboWest conference: perspectives and outcome","Thakor N, Kothe U, Wieden HJ, Patel TR.","Biochem Cell Biol. 2020 Feb;98(1):vii-ix. doi: 10.1139/bcb-2019-0187. Epub 2020 Jan 14.","Thakor N","Biochem Cell Biol","2020","2020/01/15","","","10.1139/bcb-2019-0187"
"29865927","Non-coding RNAs in virology: an RNA genomics approach","Isaac C, Patel TR, Zovoilis A.","Biotechnol Genet Eng Rev. 2018 Apr;34(1):90-106. doi: 10.1080/02648725.2018.1471642. Epub 2018 Jun 4.","Isaac C","Biotechnol Genet Eng Rev","2018","2018/06/06","","","10.1080/02648725.2018.1471642"
"32019103","Host Transcription Factors in Hepatitis B Virus RNA Synthesis","Turton KL, Meier-Stephenson V, Badmalia MD, Coffin CS, Patel TR.","Viruses. 2020 Jan 30;12(2):160. doi: 10.3390/v12020160.","Turton KL","Viruses","2020","2020/02/06","PMC7077322","","10.3390/v12020160"
"30931575","Current approaches for RNA-labelling to identify RNA-binding proteins","Gemmill D, D'souza S, Meier-Stephenson V, Patel TR.","Biochem Cell Biol. 2020 Feb;98(1):31-41. doi: 10.1139/bcb-2019-0041. Epub 2019 Mar 30.","Gemmill D","Biochem Cell Biol","2020","2019/04/02","","","10.1139/bcb-2019-0041"
"32803426","The Hidden Curriculum: Strategies for Preparing Residents for Practice","Balbona J, Patel T.","Curr Urol Rep. 2020 Aug 17;21(10):39. doi: 10.1007/s11934-020-00992-1.","Balbona J","Curr Urol Rep","2020","2020/08/18","","","10.1007/s11934-020-00992-1"
"33211149","Analytical ultracentrifugation: still the gold standard that offers multiple solutions","Dobson RCJ, Patel TR.","Eur Biophys J. 2020 Dec;49(8):673-676. doi: 10.1007/s00249-020-01483-4.","Dobson RCJ","Eur Biophys J","2020","2020/11/19","","","10.1007/s00249-020-01483-4"
"36250427","A comprehensive review of methods to study lncRNA-protein interactions in solution","Badmalia MD, Sette Pereira H, Siddiqui MQ, Patel TR.","Biochem Soc Trans. 2022 Oct 31;50(5):1415-1426. doi: 10.1042/BST20220604.","Badmalia MD","Biochem Soc Trans","2022","2022/10/17","","","10.1042/BST20220604"
"33067686","Analytical ultracentrifuge: an ideal tool for characterization of non-coding RNAs","Badmalia MD, Siddiqui MQ, Mrozowich T, Gemmill DL, Patel TR.","Eur Biophys J. 2020 Dec;49(8):809-818. doi: 10.1007/s00249-020-01470-9. Epub 2020 Oct 16.","Badmalia MD","Eur Biophys J","2020","2020/10/17","","","10.1007/s00249-020-01470-9"
