PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35609686","Multi-wavelength analytical ultracentrifugation of biopolymer mixtures and interactions","Henrickson A, Gorbet GE, Savelyev A, Kim M, Hargreaves J, Schultz SK, Kothe U, Demeler B.","Anal Biochem. 2022 Sep 1;652:114728. doi: 10.1016/j.ab.2022.114728. Epub 2022 May 21.","Henrickson A","Anal Biochem","2022","2022/05/24","","","10.1016/j.ab.2022.114728"
"31934779","Proceedings of the 14th annual RiboWest conference: perspectives and outcome","Thakor N, Kothe U, Wieden HJ, Patel TR.","Biochem Cell Biol. 2020 Feb;98(1):vii-ix. doi: 10.1139/bcb-2019-0187. Epub 2020 Jan 14.","Thakor N","Biochem Cell Biol","2020","2020/01/15","","","10.1139/bcb-2019-0187"
"32558173","Parenting researchers-an invisible divide","Roberts L, Kothe U, Wieden HJ.","EMBO Rep. 2020 Aug 5;21(8):e50738. doi: 10.15252/embr.202050738. Epub 2020 Jun 17.","Roberts L","EMBO Rep","2020","2020/06/20","PMC7403654","","10.15252/embr.202050738"
"15680978","Recognition and selection of tRNA in translation","Rodnina MV, Gromadski KB, Kothe U, Wieden HJ.","FEBS Lett. 2005 Feb 7;579(4):938-42. doi: 10.1016/j.febslet.2004.11.048.","Rodnina MV","FEBS Lett","2005","2005/02/01","","","10.1016/j.febslet.2004.11.048"
"33003357","snR30/U17 Small Nucleolar Ribonucleoprotein: A Critical Player during Ribosome Biogenesis","Vos TJ, Kothe U.","Cells. 2020 Sep 29;9(10):2195. doi: 10.3390/cells9102195.","Vos TJ","Cells","2020","2020/10/02","PMC7601244","","10.3390/cells9102195"
"33776984","H/ACA Small Ribonucleoproteins: Structural and Functional Comparison Between Archaea and Eukaryotes","Czekay DP, Kothe U.","Front Microbiol. 2021 Mar 11;12:654370. doi: 10.3389/fmicb.2021.654370. eCollection 2021.","Czekay DP","Front Microbiol","2021","2021/03/29","PMC7991803","","10.3389/fmicb.2021.654370"
"28045575","Eukaryotic stand-alone pseudouridine synthases - RNA modifying enzymes and emerging regulators of gene expression?","Rintala-Dempsey AC, Kothe U.","RNA Biol. 2017 Sep 2;14(9):1185-1196. doi: 10.1080/15476286.2016.1276150. Epub 2017 Jan 3.","Rintala-Dempsey AC","RNA Biol","2017","2017/01/04","PMC5699540","","10.1080/15476286.2016.1276150"
"33593999","Revisiting tRNA chaperones: New players in an ancient game","Porat J, Kothe U, Bayfield MA.","RNA. 2021 Feb 16;27(5):543-59. doi: 10.1261/rna.078428.120. Online ahead of print.","Porat J","RNA","2021","2021/02/17","PMC8051267","","10.1261/rna.078428.120"
"34517948","Partially modified tRNAs for the study of tRNA maturation and function","Schultz SK, Kothe U.","Methods Enzymol. 2021;658:225-250. doi: 10.1016/bs.mie.2021.06.007. Epub 2021 Jul 14.","Schultz SK","Methods Enzymol","2021","2021/09/14","","","10.1016/bs.mie.2021.06.007"
"35648701","Synergistic interaction network between the snR30 RNP, Utp23, and ribosomal RNA during ribosome synthesis","Vos TJ, Kothe U.","RNA Biol. 2022 Jan;19(1):764-773. doi: 10.1080/15476286.2022.2078092.","Vos TJ","RNA Biol","2022","2022/06/01","PMC9176245","","10.1080/15476286.2022.2078092"
"34718722","The human pseudouridine synthase PUS7 recognizes RNA with an extended multi-domain binding surface","Guegueniat J, Halabelian L, Zeng H, Dong A, Li Y, Wu H, Arrowsmith CH, Kothe U.","Nucleic Acids Res. 2021 Nov 18;49(20):11810-11822. doi: 10.1093/nar/gkab934.","Guegueniat J","Nucleic Acids Res","2021","2021/10/31","PMC8599909","","10.1093/nar/gkab934"
"34085255","Assaying the Molecular Determinants and Kinetics of RNA Pseudouridylation by H/ACA snoRNPs and Stand-Alone Pseudouridine Synthases","Czekay DP, Schultz SK, Kothe U.","Methods Mol Biol. 2021;2298:357-378. doi: 10.1007/978-1-0716-1374-0_21.","Czekay DP","Methods Mol Biol","2021","2021/06/04","","","10.1007/978-1-0716-1374-0_21"
"27849601","RNA modification enzyme TruB is a tRNA chaperone","Keffer-Wilkes LC, Veerareddygari GR, Kothe U.","Proc Natl Acad Sci U S A. 2016 Dec 13;113(50):14306-14311. doi: 10.1073/pnas.1607512113. Epub 2016 Nov 14.","Keffer-Wilkes LC","Proc Natl Acad Sci U S A","2016","2016/11/17","PMC5167154","","10.1073/pnas.1607512113"
"32597953","The methyltransferase TrmA facilitates tRNA folding through interaction with its RNA-binding domain","Keffer-Wilkes LC, Soon EF, Kothe U.","Nucleic Acids Res. 2020 Aug 20;48(14):7981-7990. doi: 10.1093/nar/gkaa548.","Keffer-Wilkes LC","Nucleic Acids Res","2020","2020/06/30","PMC7641329","","10.1093/nar/gkaa548"
"32385137","tRNA elbow modifications affect the tRNA pseudouridine synthase TruB and the methyltransferase TrmA","Schultz SK, Kothe U.","RNA. 2020 Sep;26(9):1131-1142. doi: 10.1261/rna.075473.120. Epub 2020 May 8.","Schultz SK","RNA","2020","2020/05/10","PMC7430675","","10.1261/rna.075473.120"
"29555553","Molecular Determinants for 23S rRNA Recognition and Modification by the E. coli Pseudouridine Synthase RluE","Tillault AS, Schultz SK, Wieden HJ, Kothe U.","J Mol Biol. 2018 Apr 27;430(9):1284-1294. doi: 10.1016/j.jmb.2018.03.011. Epub 2018 Mar 16.","Tillault AS","J Mol Biol","2018","2018/03/21","","","10.1016/j.jmb.2018.03.011"
"16750812","Single-step purification of specific tRNAs by hydrophobic tagging","Kothe U, Paleskava A, Konevega AL, Rodnina MV.","Anal Biochem. 2006 Sep 1;356(1):148-50. doi: 10.1016/j.ab.2006.04.038. Epub 2006 May 11.","Kothe U","Anal Biochem","2006","2006/06/06","","","10.1016/j.ab.2006.04.038"
"23743107","tRNA binding, positioning, and modification by the pseudouridine synthase Pus10","Kamalampeta R, Keffer-Wilkes LC, Kothe U.","J Mol Biol. 2013 Oct 23;425(20):3863-74. doi: 10.1016/j.jmb.2013.05.022. Epub 2013 Jun 4.","Kamalampeta R","J Mol Biol","2013","2013/06/08","","","10.1016/j.jmb.2013.05.022"
"22993689","Archaeal proteins Nop10 and Gar1 increase the catalytic activity of Cbf5 in pseudouridylating tRNA","Kamalampeta R, Kothe U.","Sci Rep. 2012;2:663. doi: 10.1038/srep00663. Epub 2012 Sep 17.","Kamalampeta R","Sci Rep","2012","2012/09/21","PMC3443816","","10.1038/srep00663"
"17218280","Codon reading by tRNAAla with modified uridine in the wobble position","Kothe U, Rodnina MV.","Mol Cell. 2007 Jan 12;25(1):167-74. doi: 10.1016/j.molcel.2006.11.014.","Kothe U","Mol Cell","2007","2007/01/16","","","10.1016/j.molcel.2006.11.014"
"29177505","Efficient RNA pseudouridylation by eukaryotic H/ACA ribonucleoproteins requires high affinity binding and correct positioning of guide RNA","Caton EA, Kelly EK, Kamalampeta R, Kothe U.","Nucleic Acids Res. 2018 Jan 25;46(2):905-916. doi: 10.1093/nar/gkx1167.","Caton EA","Nucleic Acids Res","2018","2017/11/28","PMC5778458","","10.1093/nar/gkx1167"
"24371284","An arginine-aspartate network in the active site of bacterial TruB is critical for catalyzing pseudouridine formation","Friedt J, Leavens FM, Mercier E, Wieden HJ, Kothe U.","Nucleic Acids Res. 2014 Apr;42(6):3857-70. doi: 10.1093/nar/gkt1331. Epub 2013 Dec 26.","Friedt J","Nucleic Acids Res","2014","2013/12/28","PMC3973310","","10.1093/nar/gkt1331"
"31311819","Base-pairing interactions between substrate RNA and H/ACA guide RNA modulate the kinetics of pseudouridylation, but not the affinity of substrate binding by H/ACA small nucleolar ribonucleoproteins","Kelly EK, Czekay DP, Kothe U.","RNA. 2019 Oct;25(10):1393-1404. doi: 10.1261/rna.071043.119. Epub 2019 Jul 16.","Kelly EK","RNA","2019","2019/07/18","PMC6800473","","10.1261/rna.071043.119"
"16292341","Control of phosphate release from elongation factor G by ribosomal protein L7/12","Savelsbergh A, Mohr D, Kothe U, Wintermeyer W, Rodnina MV.","EMBO J. 2005 Dec 21;24(24):4316-23. doi: 10.1038/sj.emboj.7600884. Epub 2005 Nov 17.","Savelsbergh A","EMBO J","2005","2005/11/18","PMC1356325","","10.1038/sj.emboj.7600884"
"15989950","Structural basis for the function of the ribosomal L7/12 stalk in factor binding and GTPase activation","Diaconu M, Kothe U, Schlünzen F, Fischer N, Harms JM, Tonevitsky AG, Stark H, Rodnina MV, Wahl MC.","Cell. 2005 Jul 1;121(7):991-1004. doi: 10.1016/j.cell.2005.04.015.","Diaconu M","Cell","2005","2005/07/02","","","10.1016/j.cell.2005.04.015"
"25990001","Contribution of two conserved histidines to the dual activity of archaeal RNA guide-dependent and -independent pseudouridine synthase Cbf5","Tillault AS, Fourmann JB, Loegler C, Wieden HJ, Kothe U, Charpentier B.","RNA. 2015 Jul;21(7):1233-9. doi: 10.1261/rna.051425.115. Epub 2015 May 19.","Tillault AS","RNA","2015","2015/05/21","PMC4478342","","10.1261/rna.051425.115"
"21998096","Pre-steady-state kinetic analysis of the three Escherichia coli pseudouridine synthases TruB, TruA, and RluA reveals uniformly slow catalysis","Wright JR, Keffer-Wilkes LC, Dobing SR, Kothe U.","RNA. 2011 Dec;17(12):2074-84. doi: 10.1261/rna.2905811. Epub 2011 Oct 13.","Wright JR","RNA","2011","2011/10/15","PMC3222121","","10.1261/rna.2905811"
"17042495","Delayed release of inorganic phosphate from elongation factor Tu following GTP hydrolysis on the ribosome","Kothe U, Rodnina MV.","Biochemistry. 2006 Oct 24;45(42):12767-74. doi: 10.1021/bi061192z.","Kothe U","Biochemistry","2006","2006/10/18","","","10.1021/bi061192z"
"15037065","Interaction of helix D of elongation factor Tu with helices 4 and 5 of protein L7/12 on the ribosome","Kothe U, Wieden HJ, Mohr D, Rodnina MV.","J Mol Biol. 2004 Mar 5;336(5):1011-21. doi: 10.1016/j.jmb.2003.12.080.","Kothe U","J Mol Biol","2004","2004/03/24","","","10.1016/j.jmb.2003.12.080"
