PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25988717","Translational regulation in chloroplasts for development and homeostasis","Sun Y, Zerges W.","Biochim Biophys Acta. 2015 Sep;1847(9):809-20. doi: 10.1016/j.bbabio.2015.05.008. Epub 2015 May 16.","Sun Y","Biochim Biophys Acta","2015","2015/05/20","","","10.1016/j.bbabio.2015.05.008"
"11950614","Does complexity constrain organelle evolution?","Zerges W.","Trends Plant Sci. 2002 Apr;7(4):175-82. doi: 10.1016/s1360-1385(02)02233-1.","Zerges W","Trends Plant Sci","2002","2002/04/16","","","10.1016/s1360-1385(02)02233-1"
"36373798","An RNA granule for translation quality control in Saccharomyces cerevisiae","Dhaliwal JS, Panozzo C, Benard L, Zerges W.","J Cell Sci. 2022 Dec 1;135(23):jcs260388. doi: 10.1242/jcs.260388. Epub 2022 Dec 7.","Dhaliwal JS","J Cell Sci","2022","2022/11/14","","","10.1242/jcs.260388"
"23457718","Protein targeting to subcellular organelles via MRNA localization","Weis BL, Schleiff E, Zerges W.","Biochim Biophys Acta. 2013 Feb;1833(2):260-73. doi: 10.1016/j.bbamcr.2012.04.004.","Weis BL","Biochim Biophys Acta","2013","2013/03/05","","","10.1016/j.bbamcr.2012.04.004"
"26449969","Localized control of oxidized RNA","Zhan Y, Dhaliwal JS, Adjibade P, Uniacke J, Mazroui R, Zerges W.","J Cell Sci. 2015 Nov 15;128(22):4210-9. doi: 10.1242/jcs.175232. Epub 2015 Oct 8.","Zhan Y","J Cell Sci","2015","2015/10/10","","","10.1242/jcs.175232"
"34175518","Mixtures of rare earth elements show antagonistic interactions in Chlamydomonas reinhardtii","Morel E, Cui L, Zerges W, Wilkinson KJ.","Environ Pollut. 2021 Oct 15;287:117594. doi: 10.1016/j.envpol.2021.117594. Epub 2021 Jun 14.","Morel E","Environ Pollut","2021","2021/06/27","","","10.1016/j.envpol.2021.117594"
"21431732","FISH and immunofluorescence staining in Chlamydomonas","Uniacke J, Colón-Ramos D, Zerges W.","Methods Mol Biol. 2011;714:15-29. doi: 10.1007/978-1-61779-005-8_2.","Uniacke J","Methods Mol Biol","2011","2011/03/25","","","10.1007/978-1-61779-005-8_2"
"29481573","Pyrenoid functions revealed by proteomics in Chlamydomonas reinhardtii","Zhan Y, Marchand CH, Maes A, Mauries A, Sun Y, Dhaliwal JS, Uniacke J, Arragain S, Jiang H, Gold ND, Martin VJJ, Lemaire SD, Zerges W.","PLoS One. 2018 Feb 26;13(2):e0185039. doi: 10.1371/journal.pone.0185039. eCollection 2018.","Zhan Y","PLoS One","2018","2018/02/27","PMC5826530","","10.1371/journal.pone.0185039"
"27415754","Gene Regulation in Developing Chloroplasts Disentangled","Zerges W.","PLoS Genet. 2016 Jul 14;12(7):e1006173. doi: 10.1371/journal.pgen.1006173. eCollection 2016 Jul.","Zerges W","PLoS Genet","2016","2016/07/15","PMC4945088","","10.1371/journal.pgen.1006173"
"31591163","Photosystem Biogenesis Is Localized to the Translation Zone in the Chloroplast of Chlamydomonas","Sun Y, Valente-Paterno M, Bakhtiari S, Law C, Zhan Y, Zerges W.","Plant Cell. 2019 Dec;31(12):3057-3072. doi: 10.1105/tpc.19.00263. Epub 2019 Oct 7.","Sun Y","Plant Cell","2019","2019/10/09","PMC6925001","","10.1105/tpc.19.00263"
"23129655","Biogenic membranes of the chloroplast in Chlamydomonas reinhardtii","Schottkowski M, Peters M, Zhan Y, Rifai O, Zhang Y, Zerges W.","Proc Natl Acad Sci U S A. 2012 Nov 20;109(47):19286-91. doi: 10.1073/pnas.1209860109. Epub 2012 Nov 5.","Schottkowski M","Proc Natl Acad Sci U S A","2012","2012/11/07","PMC3511122","","10.1073/pnas.1209860109"
"24312109","Thylakoid biogenesis has joined the new era of bacterial cell biology","Nickelsen J, Zerges W.","Front Plant Sci. 2013 Nov 13;4:458. doi: 10.3389/fpls.2013.00458. eCollection 2013.","Nickelsen J","Front Plant Sci","2013","2013/12/07","PMC3826073","","10.3389/fpls.2013.00458"
"19164529","Chloroplast protein targeting involves localized translation in Chlamydomonas","Uniacke J, Zerges W.","Proc Natl Acad Sci U S A. 2009 Feb 3;106(5):1439-44. doi: 10.1073/pnas.0811268106. Epub 2009 Jan 21.","Uniacke J","Proc Natl Acad Sci U S A","2009","2009/01/24","PMC2629442","","10.1073/pnas.0811268106"
"23424285","Reciprocal regulation of protein synthesis and carbon metabolism for thylakoid membrane biogenesis","Bohne AV, Schwarz C, Schottkowski M, Lidschreiber M, Piotrowski M, Zerges W, Nickelsen J.","PLoS Biol. 2013;11(2):e1001482. doi: 10.1371/journal.pbio.1001482. Epub 2013 Feb 12.","Bohne AV","PLoS Biol","2013","2013/02/21","PMC3570535","","10.1371/journal.pbio.1001482"
