PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34524790","DNAzyme-Based Biosensors: Immobilization Strategies, Applications, and Future Prospective","Khan S, Burciu B, Filipe CDM, Li Y, Dellinger K, Didar TF.","ACS Nano. 2021 Sep 28;15(9):13943-13969. doi: 10.1021/acsnano.1c04327. Epub 2021 Sep 15.","Khan S","ACS Nano","2021","2021/09/15","","","10.1021/acsnano.1c04327"
"34227631","Biosensing with DNAzymes","McConnell EM , Cozma I , Mou Q , Brennan JD , Lu Y , Li Y .","Chem Soc Rev. 2021 Aug 21;50(16):8954-8994. doi: 10.1039/d1cs00240f. Epub 2021 Jul 6.","McConnell EM","Chem Soc Rev","2021","2021/07/06","PMC9136875","NIHMS1809522","10.1039/d1cs00240f"
"35218097","A Universal DNA Aptamer that Recognizes Spike Proteins of Diverse SARS-CoV-2 Variants of Concern","Zhang Z, Li J, Gu J, Amini R, Stacey HD, Ang JC, White D, Filipe CDM, Mossman K, Miller MS, Salena BJ, Yamamura D, Sen P, Soleymani L, Brennan JD, Li Y.","Chemistry. 2022 Mar 10;28(15):e202200524. doi: 10.1002/chem.202200524. Epub 2022 Feb 26.","Zhang Z","Chemistry","2022","2022/02/26","PMC9086990","","10.1002/chem.202200524"
"31696988","A DNA Switch for Detecting Single Nucleotide Polymorphism within a Long DNA Sequence Under Denaturing Conditions","Zhang W, Li J, Salena B, Li Y.","Chemistry. 2020 Jan 13;26(3):568. doi: 10.1002/chem.201904777. Epub 2019 Nov 7.","Zhang W","Chemistry","2020","2019/11/08","","","10.1002/chem.201904777"
"33930229","Functional Nucleic Acids Under Unusual Conditions","Chang T, He S, Amini R, Li Y.","Chembiochem. 2021 Jul 15;22(14):2368-2383. doi: 10.1002/cbic.202100087. Epub 2021 May 17.","Chang T","Chembiochem","2021","2021/04/30","","","10.1002/cbic.202100087"
"32548090","Aptamer-Based Biosensors for Environmental Monitoring","McConnell EM, Nguyen J, Li Y.","Front Chem. 2020 May 29;8:434. doi: 10.3389/fchem.2020.00434. eCollection 2020.","McConnell EM","Front Chem","2020","2020/06/18","PMC7272472","","10.3389/fchem.2020.00434"
"36178917","Development of Nucleic-Acid-Based Electrochemical Biosensors for Clinical Applications","Zhang Z, Sen P, Adhikari BR, Li Y, Soleymani L.","Angew Chem Int Ed Engl. 2022 Dec 12;61(50):e202212496. doi: 10.1002/anie.202212496. Epub 2022 Oct 27.","Zhang Z","Angew Chem Int Ed Engl","2022","2022/09/30","","","10.1002/anie.202212496"
"36640547","Electrochemical DNAzyme-based biosensors for disease diagnosis","Pandey R, Lu Y, McConnell EM, Osman E, Scott A, Gu J, Hoare T, Soleymani L, Li Y.","Biosens Bioelectron. 2023 Mar 15;224:114983. doi: 10.1016/j.bios.2022.114983. Epub 2022 Dec 30.","Pandey R","Biosens Bioelectron","2023","2023/01/14","","","10.1016/j.bios.2022.114983"
"32176816","Circular Nucleic Acids: Discovery, Functions and Applications","Li J, Mohammed-Elsabagh M, Paczkowski F, Li Y.","Chembiochem. 2020 Jun 2;21(11):1547-1566. doi: 10.1002/cbic.202000003. Epub 2020 Mar 31.","Li J","Chembiochem","2020","2020/03/17","","","10.1002/cbic.202000003"
"36259976","Functional nucleic acid biosensors utilizing rolling circle amplification","Bialy RM, Mainguy A, Li Y, Brennan JD.","Chem Soc Rev. 2022 Oct 31;51(21):9009-9067. doi: 10.1039/d2cs00613h.","Bialy RM","Chem Soc Rev","2022","2022/10/19","","","10.1039/d2cs00613h"
