PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31251911","Pervasive Chromatin-RNA Binding Protein Interactions Enable RNA-Based Regulation of Transcription","Xiao R, Chen JY, Liang Z, Luo D, Chen G, Lu ZJ, Chen Y, Zhou B, Li H, Du X, Yang Y, San M, Wei X, Liu W, Lécuyer E, Graveley BR, Yeo GW, Burge CB, Zhang MQ, Zhou Y, Fu XD.","Cell. 2019 Jun 27;178(1):107-121.e18. doi: 10.1016/j.cell.2019.06.001.","Xiao R","Cell","2019","2019/06/29","PMC6760001","NIHMS1049947","10.1016/j.cell.2019.06.001"
"29373831","Context-Dependent and Disease-Specific Diversity in Protein Interactions within Stress Granules","Markmiller S, Soltanieh S, Server KL, Mak R, Jin W, Fang MY, Luo EC, Krach F, Yang D, Sen A, Fulzele A, Wozniak JM, Gonzalez DJ, Kankel MW, Gao FB, Bennett EJ, Lécuyer E, Yeo GW.","Cell. 2018 Jan 25;172(3):590-604.e13. doi: 10.1016/j.cell.2017.12.032.","Markmiller S","Cell","2018","2018/01/27","PMC5969999","NIHMS944244","10.1016/j.cell.2017.12.032"
"32728246","A large-scale binding and functional map of human RNA-binding proteins","Van Nostrand EL, Freese P, Pratt GA, Wang X, Wei X, Xiao R, Blue SM, Chen JY, Cody NAL, Dominguez D, Olson S, Sundararaman B, Zhan L, Bazile C, Bouvrette LPB, Bergalet J, Duff MO, Garcia KE, Gelboin-Burkhart C, Hochman M, Lambert NJ, Li H, McGurk MP, Nguyen TB, Palden T, Rabano I, Sathe S, Stanton R, Su A, Wang R, Yee BA, Zhou B, Louie AL, Aigner S, Fu XD, Lécuyer E, Burge CB, Graveley BR, Yeo GW.","Nature. 2020 Jul;583(7818):711-719. doi: 10.1038/s41586-020-2077-3. Epub 2020 Jul 29.","Van Nostrand EL","Nature","2020","2020/07/31","PMC7410833","","10.1038/s41586-020-2077-3"
"32728248","Perspectives on ENCODE","ENCODE Project Consortium; Snyder MP, Gingeras TR, Moore JE, Weng Z, Gerstein MB, Ren B, Hardison RC, Stamatoyannopoulos JA, Graveley BR, Feingold EA, Pazin MJ, Pagan M, Gilchrist DA, Hitz BC, Cherry JM, Bernstein BE, Mendenhall EM, Zerbino DR, Frankish A, Flicek P, Myers RM.","Nature. 2020 Jul;583(7818):693-698. doi: 10.1038/s41586-020-2449-8. Epub 2020 Jul 29.","ENCODE Project Consortium","Nature","2020","2020/07/31","PMC7410827","","10.1038/s41586-020-2449-8"
"35474002","Author Correction: Perspectives on ENCODE","ENCODE Project Consortium; Snyder MP, Gingeras TR, Moore JE, Weng Z, Gerstein MB, Ren B, Hardison RC, Stamatoyannopoulos JA, Graveley BR, Feingold EA, Pazin MJ, Pagan M, Gilchrist DA, Hitz BC, Cherry JM, Bernstein BE, Mendenhall EM, Zerbino DR, Frankish A, Flicek P, Myers RM.","Nature. 2022 May;605(7909):E4. doi: 10.1038/s41586-021-04213-8.","ENCODE Project Consortium","Nature","2022","2022/04/27","PMC9095462","","10.1038/s41586-021-04213-8"
"32728249","Expanded encyclopaedias of DNA elements in the human and mouse genomes","ENCODE Project Consortium; Moore JE, Purcaro MJ, Pratt HE, Epstein CB, Shoresh N, Adrian J, Kawli T, Davis CA, Dobin A, Kaul R, Halow J, Van Nostrand EL, Freese P, Gorkin DU, Shen Y, He Y, Mackiewicz M, Pauli-Behn F, Williams BA, Mortazavi A, Keller CA, Zhang XO, Elhajjajy SI, Huey J, Dickel DE, Snetkova V, Wei X, Wang X, Rivera-Mulia JC, Rozowsky J, Zhang J, Chhetri SB, Zhang J, Victorsen A, White KP, Visel A, Yeo GW, Burge CB, Lécuyer E, Gilbert DM, Dekker J, Rinn J, Mendenhall EM, Ecker JR, Kellis M, Klein RJ, Noble WS, Kundaje A, Guigó R, Farnham PJ, Cherry JM, Myers RM, Ren B, Graveley BR, Gerstein MB, Pennacchio LA, Snyder MP, Bernstein BE, Wold B, Hardison RC, Gingeras TR, Stamatoyannopoulos JA, Weng Z.","Nature. 2020 Jul;583(7818):699-710. doi: 10.1038/s41586-020-2493-4. Epub 2020 Jul 29.","ENCODE Project Consortium","Nature","2020","2020/07/31","PMC7410828","","10.1038/s41586-020-2493-4"
"31272829","Small-Molecule Modulation of TDP-43 Recruitment to Stress Granules Prevents Persistent TDP-43 Accumulation in ALS/FTD","Fang MY, Markmiller S, Vu AQ, Javaherian A, Dowdle WE, Jolivet P, Bushway PJ, Castello NA, Baral A, Chan MY, Linsley JW, Linsley D, Mercola M, Finkbeiner S, Lecuyer E, Lewcock JW, Yeo GW.","Neuron. 2019 Sep 4;103(5):802-819.e11. doi: 10.1016/j.neuron.2019.05.048. Epub 2019 Jul 1.","Fang MY","Neuron","2019","2019/07/06","PMC6728177","NIHMS1532890","10.1016/j.neuron.2019.05.048"
"34496257","Persistent mRNA localization defects and cell death in ALS neurons caused by transient cellular stress","Markmiller S, Sathe S, Server KL, Nguyen TB, Fulzele A, Cody N, Javaherian A, Broski S, Finkbeiner S, Bennett EJ, Lécuyer E, Yeo GW.","Cell Rep. 2021 Sep 7;36(10):109685. doi: 10.1016/j.celrep.2021.109685.","Markmiller S","Cell Rep","2021","2021/09/08","","","10.1016/j.celrep.2021.109685"
"18809490","Mapping the gene expression universe","Lécuyer E, Tomancak P.","Curr Opin Genet Dev. 2008 Dec;18(6):506-12. doi: 10.1016/j.gde.2008.08.003. Epub 2008 Sep 20.","Lécuyer E","Curr Opin Genet Dev","2008","2008/09/24","","","10.1016/j.gde.2008.08.003"
"32991835","Translating Messages in Different Neighborhoods","Chin A, Lécuyer E.","Dev Cell. 2020 Sep 28;54(6):691-693. doi: 10.1016/j.devcel.2020.09.006.","Chin A","Dev Cell","2020","2020/09/29","","","10.1016/j.devcel.2020.09.006"
