PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34207094","Preventing Colorectal Cancer through Prebiotics","Mahdavi M, Laforest-Lapointe I, Massé E.","Microorganisms. 2021 Jun 18;9(6):1325. doi: 10.3390/microorganisms9061325.","Mahdavi M","Microorganisms","2021","2021/07/02","PMC8234836","","10.3390/microorganisms9061325"
"31649894","RNA-Dependent Regulation of Virulence in Pathogenic Bacteria","Chakravarty S, Massé E.","Front Cell Infect Microbiol. 2019 Oct 9;9:337. doi: 10.3389/fcimb.2019.00337. eCollection 2019.","Chakravarty S","Front Cell Infect Microbiol","2019","2019/10/26","PMC6794450","","10.3389/fcimb.2019.00337"
"21477128","New insights into riboswitch regulation mechanisms","Bastet L, Dubé A, Massé E, Lafontaine DA.","Mol Microbiol. 2011 Jun;80(5):1148-54. doi: 10.1111/j.1365-2958.2011.07654.x. Epub 2011 Apr 20.","Bastet L","Mol Microbiol","2011","2011/04/12","","","10.1111/j.1365-2958.2011.07654.x"
"17383226","Small RNAs controlling iron metabolism","Massé E, Salvail H, Desnoyers G, Arguin M.","Curr Opin Microbiol. 2007 Apr;10(2):140-5. doi: 10.1016/j.mib.2007.03.013. Epub 2007 Mar 23.","Massé E","Curr Opin Microbiol","2007","2007/03/27","","","10.1016/j.mib.2007.03.013"
"25166280","Regulatory RNAs involved in bacterial antibiotic resistance","Lalaouna D, Eyraud A, Chabelskaya S, Felden B, Massé E.","PLoS Pathog. 2014 Aug 28;10(8):e1004299. doi: 10.1371/journal.ppat.1004299. eCollection 2014 Aug.","Lalaouna D","PLoS Pathog","2014","2014/08/29","PMC4148430","","10.1371/journal.ppat.1004299"
"32825559","Immune System Modulations by Products of the Gut Microbiota","Chénard T, Prévost K, Dubé J, Massé E.","Vaccines (Basel). 2020 Aug 21;8(3):461. doi: 10.3390/vaccines8030461.","Chénard T","Vaccines (Basel)","2020","2020/08/23","PMC7565937","","10.3390/vaccines8030461"
"26607444","The spectrum of activity of the small RNA DsrA: not so narrow after all","Lalaouna D, Massé E.","Curr Genet. 2016 May;62(2):261-4. doi: 10.1007/s00294-015-0533-7. Epub 2015 Nov 25.","Lalaouna D","Curr Genet","2016","2015/11/27","","","10.1007/s00294-015-0533-7"
"33384678","Trans-Acting Effectors Versus RNA Cis-Elements: A Tightly Knit Regulatory Mesh","Carrier MC, Ng Kwan Lim E, Jeannotte G, Massé E.","Front Microbiol. 2020 Dec 15;11:609237. doi: 10.3389/fmicb.2020.609237. eCollection 2020.","Carrier MC","Front Microbiol","2020","2021/01/01","PMC7769764","","10.3389/fmicb.2020.609237"
"26595434","Every little piece counts: the many faces of tRNA transcripts","Lalaouna D, Carrier MC, Massé E.","Transcription. 2015;6(4):74-7. doi: 10.1080/21541264.2015.1093064.","Lalaouna D","Transcription","2015","2015/11/24","PMC4802806","","10.1080/21541264.2015.1093064"
"30761752","Mimicry, deception and competition: The life of competing endogenous RNAs","Grüll MP, Massé E.","Wiley Interdiscip Rev RNA. 2019 May;10(3):e1525. doi: 10.1002/wrna.1525. Epub 2019 Feb 13.","Grüll MP","Wiley Interdiscip Rev RNA","2019","2019/02/15","","","10.1002/wrna.1525"
